Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
5,01:31.9,,2b1,Sokol České Budějovice ,,,Praha,23.2.2014
6,01:31.9,,3b1,AC Slovan Liberec ,,,Praha,23.2.2014
7,01:31.9,,3b1,AK Škoda Plzeň ,,,Ostrava,25.2.2018
8,01:32.0,,1b1,A.C. Tepo Kladno ,,,Praha,21.2.2016
9,01:32.9,,2b2,AC Sl. Sl. Uherské Hradiště ,,,Praha,21.2.2016
10,01:33.0,,1b2,LIAZ Jablonec n. N. ,,,Praha,23.2.2014
11,01:33.3,,1b1,SK Spartak Praha 4 ,,,Praha,17.2.2008
12,01:33.3,,4b1,Dukla Praha ,,,Ostrava,25.2.2018
13,01:33.5,,2,SSK Vítkovice ,,,Praha,9.2.1997
,,,,,,,,
Hala-Dorostenci-sedmiboj h,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,5370,,1,Václav Sedlák,93,Dukla Praha,Praha,14.2.2010
2,5338,,1,Lukáš Patera,86,AC Pardubice,Praha,22.2.2003
3,5320,,1,Jan Kudlička,88,Sokol Opava,Praha,26.2.2005
4,5286,,1,Ondřej  Kopecký ,98,AC Pardubice ,Praha,8.2.2015
5,5231,,1,František Doubek,2,AC Jablonec n. N.,Praha,10.2.2019
6,5225,,1,Jan Dočkal,85,Dukla Praha,Praha,10.2.2002
7,5209,,2,Lukáš Doskočil,88,AC Pardubice,Praha,26.2.2005
8,5169,,2,Dan  Bárta ,98,LIAZ Jablonec n. N. ,Praha,8.2.2015
9,5105,,1,Jan Poděbradský,74,Bohemians ČKD Praha,Praha,24.2.1990
10,5084,,1,Jiří Sýkora,95,Spartak Třebíč,Praha,11.2.2012
11,5082,,1,Milan Kohout,81,ŠAK SG Jablonec n. N.,Praha,31.1.1998
12,5030,,1,Jiří Kliner,84,JE Dukovany,Praha,27.1.2001
13,5024,,1,Martin Suchánek,79,ASK Slavia Praha,Praha,3.3.1996
14,5021,,1,Dominik Špiláček,83,Sokol Opava,Praha,6.2.2000
15,4978,,1,Jan Šimon,91,Dukla Praha,Praha,10.2.2008
16,4970,,1,Vojtěch Hájek,94,Slavoj Stará Boleslav,Praha,13.2.2011
17,4939,,1,Jan Doležal,96,Sokol Hradec Králové,Praha,10.2.2013
18,4928,,1,Jan Trafina,99,AC Slovan Liberec,Praha,14.2.2016
19,4911,,1,Tomáš Pulíček,97,AC Jablonec n. N.,Praha,9.2.2014
20,4909,,1,Jaroslav Hedvičák,90,AC Pardubice,Praha,11.2.2007
21,4894,,2,Ivan Svačina,73,Dynamo Pardubice,Praha,24.2.1990
22,5072&,,–,Robert Změlík,69,TJ Vítkovice,Sofia,23.2.1986
23,4966&,,–,Radek Bartakovič,70,Jiskra Ústí n. O.,Praha,14.2.1987
24,5300,,1,Jiří Sýkora,95,Spartak Třebíč,Jablonec n. N.,22.1.2012
,,,,,,,,
Hala-Dorostenci-koule 5kg,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,20.21,,1,Vladislav Tuláček,88,AK Bílina,Jablonec n. N.,9.2.2005
2,19.41,,1,Martin Pítr,83,AK Olomouc,Olomouc,
3,19.38,,1,Jaromír Mazgal,93,AC Syner Turnov,Praha,21.2.2010
4,19.3,,1,Remigius Machura,86,A.C. Sparta Praha,Jablonec n. N.,26.2.2003
5,18.92,,1,Jakub  Héža,0,AK Olomouc,Ostrava,19.2.2017
6,18.74,,1,Ladislav Prášil,90,AK Olomouc,Olomouc,27.1.2007
7,18.45,,1,Petr Novotný,89,AK Olomouc,Olomouc,15.12.2006
8,18.33,,1,Antonín Žalský,80,AC Turnov,Jablonec n. N.,19.1.1997
9,18.2,,1,Martin Novák,92,AK Olomouc,Olomouc,21.12.2009
10,18.09,,1,David Linhard,87,LIAZ Jablonec n. N.,Jablonec n. N.,
11,18.04,,2,Pavel Procházka,73,LIAZ Jablonec n. N.,Jablonec n. N.,17.2.1990
12,17.9,,1,Jan Werner,84,ASK Slavia Praha,Praha,
13,17.84,,1,Martin Bílek,73,Slavia IPS Praha,Praha,28.1.1990
14,17.84,,1,Jan Tylče,82,SKU Junior Plzeň,Praha,3.3.1999
15,17.77,,1,Arnošt Holovský,82,AK Bílina,Jablonec n. N.,27.1.1999
16,17.75,,1,Dominik Košař,94,SSK Vítkovice,Praha,27.2.2011
17,17.67,,2,Michal Forejt,0,AK Škoda Plzeň,Ostrava,19.2.2017
18,17.66,,1,Lukáš Tomíček,86,LIAZ Jablonec n. N.,Jablonec n. N.,2.2.2003
19,17.59,,1,František Michálek,73,RH Cheb,Praha,14.1.1989
20,17.57,,1,Michal Fiala,85,A.C. Kablo Kladno,Praha,24.2.2002
,,,,,,,,
Hala-Dorostenci-dálka,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.44,,1,Robert Změlík,69,TJ Vítkovice,Jablonec n. N.,15.2.1986
2,7.42,,1,Jaroslav Křivka,56,RH Pardubice,Jablonec n. N.,25.2.1973
3,7.29,,1,Petr Lampart,83,ACP Junior Brno,Bratislava,30.1.2000
4,7.29,,3,Tomáš Kratochvíl,2,Sokol České Budějovice,Ostrava,17.2.2019
5,7.23,,1,Ivo Pištěk,63,TJ Vítkovice,Praha,23.2.1980
6,7.2,,2,Ivo Krsek,67,Jiskra Ústí n. O.,Jablonec n. N.,11.2.1984
7,7.19,,2,Lukáš Lípa,83,AK Hodonín,Praha,19.2.2000
8,7.17,,1,Lukáš Klíma,80,SK SŠ Brno,Praha,8.2.1997
9,7.16,,1,Roman Orlík,72,SOU Frenštát p. R.,Praha,28.1.1989
10,7.14,,1,Drahomír Pořízek,78,Sokol Hradec Králové,Pardubice,28.1.1995
11,7.14,,1,Tomáš Borek,81,SSK Vítkovice,Praha,7.2.1998
12,7.11,,1,Petr Tománek,75,Bohemians Praha,Praha,1.2.1992
13,7.07,,1,Pavel Bobál,65,TJ Gottwaldov,Jablonec n. N.,27.2.1982
14,7.07,,1,Tomáš Kratochvíl,2,Sokol České Budějovice,Praha,7.12.2017
15,7.06,,1,Zdeněk Hanáček,62,Sparta ČKD Praha,Praha,18.2.1979
16,7.06,,1,Jiří Sýkora,95,Spartak Třebíč,Praha,18.2.2012
17,7.05,,1,Marek Pršín,92,Sokol Č. Budějovice,Praha,14.2.2009
18,7.04,,2,Petr Šmejkal,63,VŠ Praha,Praha,23.2.1980
19,7.04,,1,Radek Chvilíček,74,TJ Vítkovice,Praha,2.2.1991
20,7.03,,1,Jaroslav Hedvičák,59,Dynamo Pardubice,Jablonec n. N.,15.2.1976
21,7.03,,2,Jan Poděbradský,74,Bohemians Praha,Praha,2.2.1991
22,7.03,,1,Filip Navrátil,97,AK AHA Vyškov,Praha,22.2.2014
,,,,,,,,
Hala-Dorostenci-trojskok,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,14.99,,1,Lukáš Klíma,80,SK SŠ Brno,Ostrava,25.1.1997
2,14.88,,1,Ivo Bilík,62,Sparta ČKD Praha,Ostrava,3.2.1979
3,14.49,,1,Václav Ciminga,86,Sokol Opava,Praha,15.2.2003
4,14.46,,1,Manfred Pindur,73,TŽ Třinec,Jablonec n. N.,18.2.1990
5,14.4,,1,Svatoslav Ton,78,SK SŠ Brno,Ostrava,11.2.1995
6,14.38,,1,Jiří Mužík,76,Dynamo ZČE Plzeň,Ostrava,13.2.1993
7,14.34,,1,Pavel Havlíček,81,Sokol Opava,Praha,8.2.1998
8,14.25,,1,Stanislav Kadlec,67,Dynamo Pardubice,Jablonec n. N.,12.2.1984
9,14.25,,5,Milan Kovář,72,TJ Vítkovice,Jablonec n. N.,12.2.1989
10,14.23,,1,Lukáš Kopecký,90,Sokol Kolín,Praha,8.12.2007
11,14.22,,6,Pavel Kouba,72,Dynamo Pardubice,Jablonec n. N.,12.2.1989
12,14.22,,1,Michal Rajch,89,ŠAK SG Jablonec n. N.,Praha,19.2.2006
13,14.21,,1,Petr Krajčovič,67,Slavia Havířov,Ostrava,29.1.1984
14,14.21,,1,David Honzík,76,Bohemians Praha,Praha,17.1.1993
15,14.18,,2,Marek Ptáčník,73,VOKD Poruba,Praha,3.2.1990
16,14.18,,1,Roman Novotný,86,VSK Univerzita Brno,Otrokovice,23.1.2003
17,14.17,,2,Marek Zikl,75,LIAZ Jablonec n. N.,Ostrava,22.2.1992
18,14.17,,2,Stanislav Šorm,78,AŠ Mladá Boleslav,Ostrava,11.2.1995
19,14.17,,1,František Buba,0,TŽ Třinec,Ostrava,19.2.2017
20,14.15,,3,Petr Pech,64,RH Praha,Jablonec n. N.,15.2.1981
,,,,,,,,
Hala-Dorostenci-tyč,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,4.92,,1,Jan Kudlička,88,Sokol Opava,Praha,12.2.2005
2,4.9,,2A,Zdeněk Šafář,75,TJ Vítkovice,Jablonec n. N.,8.2.1992
3,4.9,,6,Adam Ptáček,80,SSK Vítkovice,Praha,23.2.1997
4,4.85,,4,Pavel Beran,76,USK Praha,Praha,16.1.1993
5,4.8,,9,Jan Žalud,77,USK Praha,Praha,22.2.1994
6,4.8,,7=,Jan Dočkal,85,Dukla Praha,Praha,16.2.2002
7,4.7,,1,František Jansa,62,VŠ Praha,Leipzig,
8,4.7,,1,Ladislav Švík,64,LIAZ Jablonec n. N.,Chrudim,18.2.1981
9,4.7,,2,Jiří Svoboda,68,VŠ Praha,Ostrava,16.2.1985
10,4.7,,2,Dan Bárta,98,LIAZ Jablonec n. N.,Jablonec n. N.,24.1.2015
11,4.67,,8=,Jakub Šimeček,91,Sokol Opava,Praha,23.2.2008
12,4.6,,1,Alan Panec,71,TJ Vítkovice,Havířov,5.3.1988
13,4.6,,2,Karel Janko,74,SK Slavia Praha,Praha,13.1.1991
14,4.6,,2,Jan Gruber,75,SK Slavia Praha,Praha,19.1.1992
15,4.6,,2,Zdeněk Pravda,76,AC Alfa Zlín,Praha,1.2.1992
16,4.6,,S,Petr Špaček,75,USK Praha,Praha,8.2.1992
17,4.6,,1,Jan Žižka,76,SK Slavia Praha,Ostrava,13.2.1993
18,4.6,,1,Lukáš Doskočil,88,AC Pardubice,Pardubice,22.1.2005
19,4.6,,4,Jaroslav Chlebík,91,AC Čejkovice,Bratislava,19.1.2008
20,4.6,,8A,Jan Švec,99,Atletika Jihlava,Praha,17.2.2016
21,4.6,,2B,Jakub Vítek,1,Sokol Kolín,Praha,21.2.2017
,,,,,,,,
Hala-Dorostenci-výška,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,2.19,,4A,Petr Kratochvíl,68,RH Č. Budějovice,Praha,12.2.1985
2,2.16,,3,Svatoslav Ton,78,SK SŠ Brno,Bílina,
3,2.16,,1,Jaroslav Bába,84,SSK Vítkovice,Brno,
4,2.14,,1,Jiří Křehula,82,AC Mor. Slavia Brno,Brno,
5,2.13,,1,Jan Sommerschuh,90,Lovochemie Lovosice,Jablonec n. N.,22.12.2007
6,2.13,,1,Martin Heindl,92,JAC Brno,Brno,19.12.2009
7,2.12,,1,Vladimír Štalmach,65,TJ Vítkovice,Jablonec n. N.,28.2.1982
8,2.11,,2,Petr Lampart,83,ACP Junior Brno,Čejkovice,22.2.2000
9,2.1,,2,Radek Mach,67,Škoda Plzeň,Ostrava,29.1.1984
10,2.1,,1,Lukáš Klíma,80,SK SŠ Brno,Brno,
11,2.1,,1,Petr Pícha,96,Sokol Č. Budějovice,Praha,24.2.2013
12,2.09,,1,Milan Machotka,63,RH Č. Budějovice,Praha,9.2.1980
13,2.09,,3,Tomáš Petřina,65,Dynamo Pardubice,Jablonec n. N.,28.2.1982
14,2.08,,2,Josef Bělohlávek,69,Baník Příbram,Jablonec n. N.,16.2.1986
15,2.08,,1,Petr Vodenka,72,Baník Sokolov,Čejkovice,7.3.1989
16,2.07,,1,Martin Krzyžánek,70,Slavia Havířov,Praha,29.1.1987
17,2.07,,1,Tomáš Kratochvíl,75,Sokol Č. Budějovice,Praha,1.2.1992
18,2.07,,1,Matyáš Dalecký,94,Sokol Kolín,Praha,27.2.2011
19,2.06,,2,Aleš Jungmann,58,Dukla Praha,Praha,8.2.1975
20,2.06,,2,Jan Halouska,64,Dynamo ZČE Plzeň,Ostrava,1.2.1981
21,2.06,,1,Daniel Kolenčík,86,VSK Univerzita Brno,Praha,16.2.2003
22,2.06,,1,Tomáš Krása,87,SSK Vítkovice,Bratislava,21.1.2004
,,,,,,,,
Hala-Dorostenci-chůze 5000m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,22:44.6,,2,František Hipmann,75,Lokomotiva Č. Lípa,Ostrava,16.2.1991
2,22:54.5,,3,Josef Tecák,74,TJ Vítkovice,Ostrava,16.2.1991
3,23:26.1,,1,Jiří Chaloupka,85,Sokol Nová Paka,Praha,23.2.2002
4,23:28.3,,1,Pavel Svoboda,80,SK Lokomotiva Děčín,Praha,24.2.1996
5,23:30.8,,6,Jiří Veselý,73,Sparta ČKD Praha,Praha,27.1.1990
6,23:31.4,,2,Tomáš Gdula,97,Hvězda SKP Pardubice,Praha,9.2.2014
7,23:40.6,,2,Pavel Kubeša,72,Slavoj Bruntál,Ostrava,21.1.1989
8,23:44.4,,3,Lukáš Gdula,91,Hvězda SKP Pardubice,Praha,10.2.2008
9,23:45.7,,1,Rudolf Cogan,71,LIAZ Jablonec n. N.,Praha,30.1.1988
10,23:47.8,,1,Tomáš Franče,73,Slovan Liberec,Praha,3.2.1990
11,23:53.5,,4,Tomáš Hlavenka,77,USK Praha,Ostrava,23.1.1993
12,23:56.1,,2,Jakub Záluský,73,Dynamo ZČE Plzeň,Ostrava,11.2.1989
13,23:59.9,,5,Jan Dlouhý,87,Sokol Nová Paka,Eaubonne,29.2.2004
14,20:51.2,,9,Rudolf Cogan,71,LIAZ Jablonec n. N.,Jablonec n. N.,20.2.1988
15,21:33.6,,4,Radomír Škaloud,72,Škoda Plzeň,Jablonec n. N.,
16,21:38.0,,5,Tomáš Kratochvíl,71,RH Praha,Jablonec n. N.,
17,21:48.2,,5,Radek Pařízek,82,Sokol Nová Paka,Jablonec n. N.,
18,21:49.8,,7,Pavel Svoboda,80,SK Lokomotiva Děčín,Jablonec n. N.,
19,21:52.4,,4,Jakub Kožíšek,80,AC Rumburk,Jablonec n. N.,
20,22:03.8,,3,Ondřej Motl,94,TJ Rumburk,Jablonec n. N.,
21,22:37.5,,6,Tomáš Hlavenka,77,USK Praha,Jablonec n. N.,
22,22:42.2,,1,Jiří Chaloupka,85,Sokol Nová Paka,Jablonec n. N.,
23,23:04.1,,5,Luděk Hanč,94,SK N. Město n. Met.,Jablonec n. N.,
24,23:08.3,,3,Tomáš Gdula,97,Hvězda SKP Pardubice,Jablonec n. N.,
25,23:14.0,,1,Jiří Veselý,73,Sparta ČKD Praha,Jablonec n. N.,
26,23:23.1,,1,Jakub Záluský,73,Dynamo ZČE Plzeň,Jablonec n. N.,7.2.1990
27,23:31.8,,2,Jaroslav Štork,59,Slovan Liberec,Jablonec n. N.,21.2.1976
28,23:52.4,,3,Martin Bukáček,90,ASK Slavia Praha,Jablonec n. N.,27.12.2007
29,23:57.0,,9,Petr Kavka,77,AC Slovan Liberec,Jablonec n. N.,28.12.1994
30,23:57.4,,3,Lukáš Příhonský,69,Lokomotiva Děčín,Jablonec n. N.,11.1.1986
,,,,,,,,
Hala-Žáci-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,6.93,,1A,Zdeněk Stromšík,94,SKM Valašské Meziříčí,Praha,19.12.2009
2,6.96,,2A,Marek Bakalár,95,A.C. Tepo Kladno,Praha,19.12.2009
3,6.97,,1A ,Štěpán Hampl,99,Sokol Kolín,Praha,13.12.2014
4,7.02,,1,Matěj Krsek,0,A.C. Tepo Kladno,Praha,11.1.2015
5,7.03,,1A,Václav Zich,90,ŠAK Chodov,Praha,
6,7.11,,1A,Dominik Müller,97,Sokol Hradec Králové,Praha,15.12.2012
7,7.15,,1,Jaroslav Levay,78,Slezan Opava,Jablonec n. N.,
8,7.15,,2A ,Matěj  Nádhera ,0,SKP Union Cheb,Praha,13.12.2014
9,7.16,,1b1,Alexandr Herman,91,Lokomotiva Břeclav,Brno,
10,7.16,,1A,Tadeáš Formánek,2,Sokol Opava,Praha,9.12.2017
11,7.17,,2,Filip  Bárta ,0,Sokol České Budějovice ,Jablonec  n. N.,28.2.2015
12,7.17,,1r7,Vojtěch Horák,3,AK Olomouc,Ostrava,15.12.2018
13,7.18,,1r1,Jiří Mezihorák,65,TJ Vítkovice,Jablonec n. N.,23.2.1980
14,7.18,,1,Martin Říčař,91,SK Čéč. Č. Budějovice,Praha,4.3.2006
15,7.18,,2r1,Jiří Feigel,97,A.C. Tepo Kladno,Praha,15.12.2012
16,7.19,,3A,Marcel Kadlec,94,AC. Mladá Boleslav,Praha,19.12.2009
17,7.19,,1A,Pavel Gocala,98,SK Čeč. Č. Budějovice,Praha,14.12.2013
18,7.19,,1A,Filip Brom,99,SK Spartak Praha 4,Praha,16.1.2014
19,7.21,,2A,Michael  Höfner,2,ASK Slavia Praha,Praha,9.12.2017
20,7.23,,1r2,Tobiáš  Dvorský,1,TJ Spartak Třebíč,Praha,5.3.2016
21,7.24,,1b1,Jan Vrba,82,LIAZ Jablonec n. N.,Jablonec n. N.,
22,7.24,,3A,Kryštof Kašpárek,0,TJ Jiskra Otrokovice,Bratislava,12.12.2015
23,6.9,,1,Libor Kraus,70,Zbrojovka Brno,Brno,
,,,,,,,,
Hala-Žáci-150 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,16.43,,1b1 ,Matěj Krsek,0,A.C. Tepo Kladno,Praha,21.2.2015
2,16.45,,1b1,Marek Bakalár,95,A.C. Tepo Kladno,Praha,18.12.2010
3,16.87,,2b1,Matěj  Nádhera ,0,SKP Union Cheb,Praha,5.12.2015
4,16.88,,1b1,Martin Říčař,91,SK Čéč. Č. Budějovice,Praha,16.12.2006
5,16.89,,1b2 ,Štěpán  Hampl ,99, Sokol Kolín,Praha,13.12.2014
6,16.96,,1b1,Jáchym Procházka,97,Jiskra Ústí n. O.,Praha,15.12.2012
7,16.97,,2b1,Lukáš Šťastný,91,Sokol Milevsko,Praha,16.12.2006
8,16.97,,1b1 ,Michal  Maček ,0,SK ZŠ Jeseniova Praha ,Praha,19.12.2015
9,17.02,,1b1,Vojtěch Horák,3,AK Olomouc,Ostrava,15.12.2018
10,17.07,,1b1,Václav Zich,90,ŠAK Chodov,Praha,
11,17.08,,1b1,Lukáš Hodboď,96,SKP Nymburk,Praha,17.12.2011
12,17.09,,1b1,Pavel Gocala,98,SK Čeč. Č. Budějovice,Praha,14.12.2013
13,17.13,,1b1 ,Filip  Bárta ,0,T. J. Sokol České Budějovice ,Praha,5.2.2015
14,17.14,,1b1 ,Antonín Wijas,1,ASK Slavia Praha,Praha,17.12.2016
15,17.15,,1A,Tobiáš  Dvorský,1,TJ Spartak Třebíč,Praha,6.3.2016
16,17.18,,1,Jan Václav Ondráček,3,BYAC Brno,Ostrava,4.3.2018
17,17.21,,2b2 ,Adam  Šufliarský ,99,TJ Dukla Praha ,Praha,13.12.2014
18,17.27,,2A,Dominik  Holub,1,Sokol Kolín,Praha,6.3.2016
19,17.29,,2b1,Dominik Müller,97,Sokol Hradec Králové,Praha,15.12.2012
20,17.29,,1b1,Jan Vrba,82,LIAZ Jablonec n. N.,Jablonec n. N.,
21,17.31,,1,Tadeáš Formánek,2,Sokol Opava,Praha,5.3.2017
22,17.31,,1A,Filip Brom,99,SK Spartak Praha 4,Praha,14.2.2014
,,,,,,,,
Hala-Žáci-300 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,35.09,,1,Tadeáš Plaček,3,VSK Univerzita Brno,Ostrava,4.3.2018
2,35.18,,1A,Matěj Krsek,0,A.C. Tepo Kladno,Jablonec n. N.,1.3.2015
3,35.3,,1b1,Lukáš Hodboď,96,SKP Nymburk,Praha,17.12.2011
4,35.88,,1b2,Josef Drahota,3,ASK Slavia Praha,Praha,15.12.2018
5,35.96,,1b1,Daniel  Vejražka ,0,TJ Klášterec n. O. ,Praha,28.11.2015
6,36.01,,1b1,Pavel Gocala,98,SK Čeč. Č. Budějovice,Praha,21.12.2013
7,36.05,,1b1,Jáchym Procházka,97,Jiskra Ústí n. O.,Praha,15.12.2012
8,36.24,,1b1,Martin Říčař,91,SK Čeč. Č. Budějovice,Praha,16.12.2006
9,36.35,,2b1,Kryštof Kašpárek,0,TJ Jiskra Otrokovice,Praha,28.11.2015
10,36.43,,2,Stěpán Schubert,3,AC Jablonec n. N.,Ostrava,4.3.2018
11,36.5,,1b1,Martin Černák,95,LIAZ Jablonec n. N.,Praha,18.12.2010
12,36.58,,1b3,Jiří Polák,98,Sokol Č. Budějovice,Praha,21.12.2013
13,36.61,,2b1,Jakub Veselý,98,Slavoj Stará Boleslav,Praha,21.12.2013
14,36.63,,1b2,Antonín Wijas,1,ASK Slavia Praha,Praha,17.12.2016
15,36.69,,1b1,Martin Vencbauer,1,JAC Brno,Ostrava,17.12.2016
16,36.72,,1b1,Jakub Holec,3,Atletika Stará Boleslav,Praha,15.12.2018
17,36.74,,2b1,Miroslav Kozák,2,Spartak Praha 4,Praha,9.12.2017
18,36.76,,1b1,Pavel Bouše,92,AK Škoda Plzeň,Praha,15.12.2007
19,36.79,,1b5,Zdeněk Stromšík,94,SKM Valašské Meziříčí,Praha,19.12.2009
20,36.8,,3b1,Matěj  Nádhera ,0,SKP Union Cheb,Praha,28.11.2015
21,36.82,,2b2,Ondřej Havelka,1,ASK Slavia Praha,Praha,17.12.2016
22,36.84,,1b1,Michael  Höfner,2,ASK Slavia Praha,Praha,2.12.2017
23,36.87,,1b1,Milan Ščibráni,3,SSK Vítkovice,Ostrava,15.12.2018
24,36.88,,1A,Milan Vyroubal,75,Spolana Neratovice,Ostrava,18.2.1990
25,36.9,,1b2,David Richter,98,SKP Union Cheb,Praha,21.12.2013
26,36.9,,2b1,David Ježek,3,VSK Univerzita Brno,Ostrava,15.12.2018
27,36.9,,2b1,Dominik Gnip,3,Atletika Jižní Město,Praha,15.12.2018
28,36.95,,3b1,Tadeáš Formánek,2,Sokol Opava,Praha,9.12.2017
29,36.96,,3,Jan Šalman,3,AK Olomouc,Ostrava,4.3.2018
30,36.98,,3b1,Vojtěch Vrba,3,AK Škoda Plzeň,Praha,15.12.2018
31,37,,1b1,Václav Zich,90,ŠAK Chodov,Praha,
32,37,,3b1,Vojtěch Krčma,3,VSK Univerzita Brno,Ostrava,15.12.2018
33,37.02,,1b3,Thomas Hlavačka,3,Slezan Frýdek-Místek,Ostrava,6.1.2018
34,37.04,,2b1,Jonáš Tuček,96,A.C. Tepo Kladno,Praha,17.12.2011
35,37.04,,2b1,Tomáš Wooler,2,Spartak Praha 4,Praha,2.12.2017
36,36.6,,1,Michal Škvára,78,AC Poldi Kladno,Praha,
,,,,,,,,
Hala-Žáci-800 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:57.1,,1b1,Thomas Hlavačka,3,Slezan Frýdek-Místek,Ostrava,15.12.2018
2,01:57.7,,1,Jakub  Davidík,2,Baník Stříbro,Praha,5.3.2017
3,01:58.7,,1,Lukáš Vydra,73,Spartak Praha 4,Ostrava,14.2.1988
4,01:59.6,,3b3,Tadeáš Plaček,3,VSK Univerzita Brno,Ostrava,20.1.2018
5,02:00.6,,3,Jiří Vrbovský,67,VŠ Praha,Ostrava,28.2.1982
6,02:00.7,,1b1,Nico Boketta,2,Atletika Jižní Město,Praha,2.12.2017
7,02:00.8,,3r.,Jiří Maindl,68,VŠTJ Technika Brno,Jablonec n. N.,26.2.1983
8,02:01.1,,1,Pavel Klodner,75,Transporta Chrudim,Jablonec n. N.,21.1.1990
9,02:01.4,,1b1,Marek  Strnad,1,TJ Nová Včelnice,Praha,17.12.2016
10,02:01.6,,2b1,Michal Hroch,3,AK Olomouc,Ostrava,15.12.2018
11,02:01.8,,2,Jakub Grégr,4,AK Šternberk,Praha,5.3.2017
12,02:02.4,,3,Tadeáš Plaček,3,VSK Univerzita Brno,Praha,5.3.2017
13,02:02.4,,3,Miroslav Řehoř,64,Slavia VŠ Praha,Jablonec n. N.,18.2.1979
14,02:02.4,,1,Miroslav Burian,92,Dukla Praha,Praha,4.3.2007
15,02:02.5,,1,Petr Mančal,73,Slavia IPS Praha,Praha,23.1.1988
16,02:02.8,,2b1,Samuel Konvalina,2,ASK Slavia Praha,Praha,2.12.2017
17,02:02.8,,3b1,Dominik Gnip,3,Atletika Jižní Město,Praha,2.12.2017
18,02:02.9,,1b1,Jan Rus,85,VTŽ Chomutov,Praha,
19,02:03.0,,4,Michal Krob,67,Slovan Kadaň,Praha,7.2.1982
20,02:03.2,,6,Tomáš Kosmák,64,Technika Brno,Jablonec n. N.,18.2.1979
21,02:03.2,,1,Tomáš Filipec,93,Slezan Frýdek-Místek,Praha,2.3.2008
22,02:03.3,,1b1,Jan Hřích,3,AK při ZŠ Prokopa Holého Louny,Praha,1.12.2018
23,02:03.6,,2b1,Šimon Procházka,0,Dukla Praha,Praha,19.12.2015
24,02:03.6,,1b1,Pavel Horníček,97,Jiskra Ústí n. O.,Praha,15.12.2012
25,02:03.7,,2b1,Ondřej Hodboď,1,SKP Nymburk,Praha,17.12.2016
26,02:03.7,,1,Tobiáš Skýpala,1,SKM Valaš. Meziříčí,Ostrava,17.12.2016
27,02:03.8,,1,Václav Staněk,98,AK PSK Zlín,Praha,23.2.2013
,,,,,,,,
Hala-Žáci-1500 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,04:06.8,,1b2,Tomáš Habarta,3,AC TJ Slo.Sl.Uherské Hradiště,Ostrava,15.12.2018
2,04:07.3,,1,Nico Boketta,2,Atletika Jižní Město,Praha,4.3.2017
3,04:08.1,,2,Michal Hanyk,2,AC Turnov,Praha,4.3.2017
4,04:09.0,,2b1,Karel Kulíšek,99,TJ Nové Město n. Mor.,Bratislava,13.12.2015
5,04:09.4,,1,Zdeněk Pichl,83,Sokol Kolín,Praha,
6,04:09.7,,3,Nicholas Jan Adensam,2,AK Olomouc,Praha,4.3.2017
7,04:13.4,,3,Vladimír Fišara,70,Slavoj Bruntál,Ostrava,2.2.1985
8,04:13.8,,3,Michal Kučera,72,Spartak Ústí n. L.,Ostrava,1.2.1987
9,04:14.3,,4,Marek Žák,68,Zbrojovka Brno,Jablonec n. N.,27.2.1983
10,04:14.5,,2,Zdeněk Mezuliáník,65,Slavoj Bruntál,Ostrava,19.1.1980
11,04:15.1,,2b1,Robert Štefánek,81,Jiskra Havlíčkův Brod,Jablonec n. N.,11.2.1996
12,04:15.5,,2,František Polanský,69,Jiskra Ústí n. O.,Praha,29.1.1984
13,04:15.8,,7b1,Marek  Strnad,1,TJ Nová Včelnice,Praha,30.1.2015
14,04:16.7,,6,Milan Kosař,67,Lokomotiva Bílina,Ostrava,28.2.1982
15,04:16.8,,2,Jiří Vorel,83,Spartak Vlašim,Praha,
16,04:17.0,,1,Jiří Štulpa,71,TJ Svitavy,Jablonec n. N.,25.1.1986
