Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
"Hala-Muži-koule 7,26kg",,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,22.17,,1,Tomáš Staněk,91,Dukla Praha,Düsseldorf,6.2.2018
2,21.79,,1,Remigius Machura,60,VŠ Praha,Praha,13.2.1985
3,21.1,,1,Ladislav Prášil,90,Dukla Praha,Zürich,28.8.2013
4,20.73,,1,Martin Stašek,89,VSK Univerzita Brno,Praha,17.2.2013
5,20.71,,1,Jan Marcell,85,VSK Univerzita Brno,Praha,22.2.2015
6,20.68,,1,Miroslav Menc,71,Dukla Praha,Praha,18.2.2001
7,20.6,,2A,Josef Kubeš,57,VŠ Praha,Jablonec n. N.,28.1.1984
8,20.34,,2,Richard Navara,64,Dukla Praha,Jablonec n. N.,14.2.1987
9,20.31,,1,Karel Šula,59,RH Praha,Athína,6.2.1988
10,20.29,,1,Jaroslav Brabec,49,Dukla Praha,Rotterdam,11.3.1973
11,20.19,,2,Jaromír Vlk,49,Dukla Praha,Sindelfingen,2.3.1980
12,20.09,,1,Petr Stehlík,77,Dukla Praha,Jablonec n. N.,19.2.2002
13,19.78,,2,Jozef Lacika,61,Dukla Praha,Praha,25.1.1986
14,19.74,,2,Vladislav Tuláček,88,AK Kroměříž,Jablonec n. N.,28.1.2015
15,19.63,,1,Antonín Žalský,80,USK Praha,Praha,26.2.2006
16,19.61,,1,Dalibor Vašíček,54,RH Praha,Jablonec n. N.,8.2.1981
17,19.56,,2,Martin Novák,92,AK Olomouc,Praha,18.2.2018
18,19.52,,1,Miroslav Janoušek,45,SK Slavia Praha,Jablonec n. N.,12.2.1972
19,19.36,,1A,Martin Bílek,73,Dukla Praha,Jablonec n. N.,29.1.1994
20,19.23,,2,Josef Rosůlek,71,PSK Olymp Praha,Praha,17.2.2002
,,,,,,,,
Hala-Muži-dálka,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,8.18,,1,Milan Gombala,68,Dukla Praha,Praha,16.2.1992
2,8.17,,1,Jan Leitner,53,Dukla Praha,Athína,17.2.1985
3,8.1,,2,Radek  Juška ,93,PSK Olymp Praha ,Praha ,6.3.2015
4,8.09,,2,Robert Změlík,69,Dukla Praha,Praha,16.2.1992
5,8.05,,1,Roman Novotný,86,AK Kroměříž,Praha,26.2.2009
6,8.04,,1,Milan Kovář,72,Dukla Praha,Praha,28.1.1998
7,7.97,,S,Roman Šebrle,74,Dukla Praha,Tallin,29.1.2000
8,7.96,,3,Ivo Krsek,67,Dukla Praha,Praha,16.2.1992
9,7.96,,1,Štěpán Wagner,81,Dukla Praha,Praha,30.1.2005
10,7.94,,6,Zdeněk Hanáček,62,Dukla Praha,Madrid,22.2.1986
11,7.94,,2,Roman Orlík,72,SSK Vítkovice,Praha,21.2.1993
12,7.93,,1,Róbert Széli,65,Dukla Praha,Jablonec n. N.,7.2.1987
13,7.88,,3,Jaroslav Brož,50,Dynamo Pardubice,Grenoble,11.3.1972
14,7.87,,2,Róbert Michalík,74,USK Praha,Praha,26.2.1995
15,7.85,,1,Ján Čado,63,Slavia IPS Praha,Sindelfingen,1.2.1984
16,7.85,,1,Tomáš Votava,73,PSK Olymp Praha,Praha,21.2.1999
17,7.83,,4,Jiří Kuntoš,73,PSK Olymp Praha,Praha,21.2.1999
18,7.83,,1,Tomáš Pour,83,Sokol Č. Budějovice,Praha,4.2.2006
19,7.81,,S,Tomáš Dvořák,72,Dukla Praha,Gent,25.2.2000
20,7.78,,2,Zdeněk Mazur,54,Dukla Praha,Jablonec n. N.,20.2.1982
21,7.78,,1,Milan Pírek,87,AK Kroměříž,Olomouc,2.2.2013
,,,,,,,,
Hala-Muži-trojskok,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,17.23,,2,Ján Čado,63,Slavia IPS Praha,Athína,2.3.1985
2,17.16,,2,Vlastimil Mařinec,57,Slavia IPS Praha,Göteborg,3.3.1984
3,16.93,,3,Milan Mikuláš,63,RH Praha,Haag,18.2.1989
4,16.91,,1,Ivan Slanař,61,Dukla Praha,Praha,24.1.1988
5,16.82,,2,Jiří Kuntoš,73,PSK Olymp Praha,Sindelfingen,28.2.1999
6,16.59,,1,Jaroslav Mrštík,67,Dukla Praha,Praha,19.1.1991
7,16.57,,1,Peter Nemšovský,43,Dukla Praha,Praha,12.3.1967
8,16.38,,1A,Ivo Bilík,62,Sparta ČKD Praha,Jablonec n. N.,28.1.1984
9,16.31,,1,Jaroslav Priščák,56,Dukla Praha,Jablonec n. N.,9.2.1986
10,16.29,,2,Pavel Wiedermann,65,Slavia IPS Praha,Jablonec n. N.,5.2.1989
11,16.25,,1,Milan Kořínek,60,Dukla Praha,Jablonec n. N.,19.2.1984
12,16.21,,1,Karel Hradil,53,Dukla Praha,Jablonec n. N.,20.1.1979
13,16.17,,1,Karel Burian,69,PSK Olymp Praha,Jablonec n. N.,27.2.1994
14,16.15,,1,Martin Vrběcký,77,LIAZ Jablonec n. N.,Jablonec n. N.,29.1.2000
15,16.14,,2,Michal Coubal,73,Dukla Praha,Jablonec n. N.,27.2.1994
16,16.13,,1A,Petr Pech,64,RH Praha,Jablonec n. N.,30.1.1988
17,16.13,,1,Petr Hnízdil,81,Dukla Praha,Praha,8.2.2004
18,16.07,,3,Jiří Vyčichlo,46,Dukla Praha,Bucuresti,31.1.1976
19,16.07,,5,Ondřej Vodák,98,VSK Univerzita Brno,Chemnitz,10.2.2019
20,16.02,,3,Oldřich Krmela,62,RH Praha,Jablonec n. N.,10.2.1985
21,15.97,,1,Tomáš Cholenský,78,PSK Olymp Praha,Praha,12.2.2000
,,,,,,,,
Hala-Muži-tyč,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,5.81,,2,Adam Ptáček,80,Dukla Praha,Chemnitz,7.2.2003
2,5.8,,3,Jan Kudlička,88,Dukla Praha,Sopot,8.3.2014
3,5.76,,1,Michal Balner,82,Dukla Praha,Praha,28.2.2010
4,5.75,,3,Štěpán Janáček,77,Dukla Praha,Sindelfingen,4.3.2001
5,5.74,,1,Jan Netscher,75,USK Praha,Praha,21.1.1996
6,5.65,,1,Zdeněk Lubenský,62,USK Praha,Praha,15.2.1992
7,5.65,,1,Martin Kysela,74,Dukla Praha,Praha,14.1.1998
8,5.65,,1,Petr Špaček,75,USK Praha,Praha,18.1.2000
9,5.55,,1,František Jansa,62,VŠ Praha,Praha,26.1.1985
10,5.55,,1,Matěj Ščerba,98,AC Ústí nad Labem,Praha,9.2.2019
11,5.5,,1,Karel Janko,74,USK Praha,Praha,12.2.1997
12,5.5,,2,Adam Pašiak,90,USK Praha,Praha,16.2.2014
13,5.41,,2,Lukáš Bechyně,83,AK Škoda Plzeň,Luxembourg,16.1.2010
14,5.4,,1,Pavel Sluka,64,VŠ Praha,Praha,17.2.1988
15,5.4,,1,Richard Havlásek,73,Dukla Praha,Praha,23.1.1994
16,5.4,,2,Zdeněk Šafář,75,Dukla Praha,Praha,25.2.1995
17,5.4,,1=,Matěj Urban,75,ASK Slavia Praha,Praha,22.1.2000
18,5.4,,3,Radek Hončl,76,USK Praha,Praha,17.2.2001
19,5.35,,1,Pavel Beran,76,USK Praha,Praha,26.2.1997
20,5.35,,5,Lukáš Posekaný,92,A.C. Tepo Kladno,Praha,25.2.2014
21,5.3,,1,Petr Habel,59,VŠ Praha,Praha,13.2.1982
22,5.3,,1,Roman Zrun,60,Slavia Univ. Olomouc,Jablonec n. N.,20.2.1982
23,5.3,,2,Boleslav Patera,63,VŠ Praha,Praha,4.2.1984
24,5.3,,7A,Michal Prunar,61,RH Praha,Praha,29.1.1988
25,5.3,,S,Martin Jelínek,75,Dukla Praha,Praha,3.3.1996
26,5.3,,3,Aleš Hončl,75,USK Praha,Praha,21.1.1998
27,5.3,,2,Jan Žalud,77,USK Praha,Praha,24.1.2001
28,5.3,,4,Miroslav Telecký,83,USK Praha,Praha,14.2.2007
,,,,,,,,
Hala-Muži-výška,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,2.37,,2,Jaroslav Bába,84,SSK Vítkovice,Arnstadt,5.2.2005
